reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,_parsed_date,reason_text
2023.1571,SPS,food,Acephate and Methamidophos in Yard long beans from India,6/3/2023 16:43,France,border rejection notification,no risk,,,,"France,India",India,"acephate  unauthorised substance - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues}",3/6/2023 16:43,"Acephate and Methamidophos in Yard long beans from India | acephate  unauthorised substance - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues}"
2023.1565,SPS,food,Fipronil and Monocrotophos in Moringa oleifera from India,6/3/2023 15:37,France,border rejection notification,serious,,,,"France,India",India,"fipronil  unauthorised substance - {pesticide residues},monocrotophos  unauthorised substance - {pesticide residues}",3/6/2023 15:37,"Fipronil and Monocrotophos in Moringa oleifera from India | fipronil  unauthorised substance - {pesticide residues},monocrotophos  unauthorised substance - {pesticide residues}"
2023.1455,SPS,food,2-Chloroethanol in spice mixture from India,1/3/2023 12:15,Germany,border rejection notification,serious,Germany,,,"Germany,India",India,2-chloroethanol   - {pesticide residues},3/1/2023 12:15,2-Chloroethanol in spice mixture from India | 2-chloroethanol   - {pesticide residues}
2023.1442,SPS,food,Salmonella in Indian Sesame seed,28-02-2023 16:09:42,Netherlands,border rejection notification,serious,,,,"India,Netherlands",India,Salmonella spp.  - {pathogenic micro-organisms},2/28/2023 16:09,Salmonella in Indian Sesame seed | Salmonella spp.  - {pathogenic micro-organisms}
2023.144,SPS,food,Salmonella in betel leaves from India,28-02-2023 15:42:12,France,border rejection notification,serious,,,,"France,India",India,Salmonella typhimurium DT 193 - multiresistant  - {pathogenic micro-organisms},2/28/2023 15:42,Salmonella in betel leaves from India | Salmonella typhimurium DT 193 - multiresistant  - {pathogenic micro-organisms}
2023.1438,SPS,food,Chlorates in cinnabar goatfish from Vietnam,28-02-2023 15:36:34,Belgium,information notification for follow-up,no risk,,,Netherlands,"Belgium,Netherlands,Vietnam",Vietnam,chlorate  unauthorised substance - {pesticide residues},2/28/2023 15:36,Chlorates in cinnabar goatfish from Vietnam | chlorate  unauthorised substance - {pesticide residues}
2023.1437,Other/Unmatched,food,Import of food supplements from India without proper control,28-02-2023 15:28:54,Croatia,border rejection notification,undecided,Croatia,Slovenia,,"Croatia,India",India,,2/28/2023 15:28,Import of food supplements from India without proper control
2023.1429,SPS,food,Ochratoxin A in Indian Rice,28-02-2023 14:29:07,Netherlands,border rejection notification,potentially serious,,,,"India,Netherlands",India,ochratoxin A   - {mycotoxins},2/28/2023 14:29,Ochratoxin A in Indian Rice | ochratoxin A   - {mycotoxins}
2023.134,Other/Unmatched,food,Unauthorised novel food ingridient Azadirachta indica and Picrorhiza kurroa in food supplements from India,24-02-2023 10:56:38,Slovenia,border rejection notification,potential risk,,,,India,India,,2/24/2023 10:56,Unauthorised novel food ingridient Azadirachta indica and Picrorhiza kurroa in food supplements from India
2023.1293,SPS,food,"Salmonella Weltevreden in dried Mu-Err mushrooms from Vietnam, via Czech Republic",22-02-2023 17:39:07,Germany,alert notification,serious,Germany,"INFOSAN,Poland",Czechia,"Czechia,Germany",Vietnam,"Bacillus cereus presumptive - {pathogenic micro-organisms},Salmonella spp.  - {pathogenic micro-organisms}",2/22/2023 17:39,"Salmonella Weltevreden in dried Mu-Err mushrooms from Vietnam, via Czech Republic | Bacillus cereus presumptive - {pathogenic micro-organisms},Salmonella spp.  - {pathogenic micro-organisms}"
2023.1249,SPS,food,"unauthorised substances chlorothalonil, bifenthrin and methomyl in passion fruits from Ecuador",22-02-2023 00:59:51,Belgium,alert notification,potentially serious,France,,,"Ecuador,France",Ecuador,"bifenthrin   - {pesticide residues},chlorothalonil   - {pesticide residues},dimethoate   - {pesticide residues},methomyl unauthorised substance  - {pesticide residues}",2/22/2023 0:59,"unauthorised substances chlorothalonil, bifenthrin and methomyl in passion fruits from Ecuador | bifenthrin   - {pesticide residues},chlorothalonil   - {pesticide residues},dimethoate   - {pesticide residues},methomyl unauthorised substance  - {pesticide residues}"
2023.1234,SPS,food,Unauthorized substance dimethoate in peas from India,21-02-2023 13:16:59,Germany,information notification for attention,potential risk,Germany,,,"Germany,India",India,dimethoate   - {pesticide residues},2/21/2023 13:16,Unauthorized substance dimethoate in peas from India | dimethoate   - {pesticide residues}
2023.1209,SPS,food,Dimethoate in peas from India,20-02-2023 15:39:23,Germany,information notification for attention,potentially serious,Germany,,,"Germany,India",India,"dimethoate   - {pesticide residues},omethoate   - {pesticide residues}",2/20/2023 15:39,"Dimethoate in peas from India | dimethoate   - {pesticide residues},omethoate   - {pesticide residues}"
2023.1182,TBT,food,"Pyrrolizidine alkaloids in cumin from India, packaged in the United Kingdom, via the Netherlands",17-02-2023 15:58:53,Ireland,alert notification,serious,United Kingdom,"INFOSAN,Ireland",Netherlands,"India,Netherlands,United Kingdom",India,pyrrolizidine alkaloids   - {natural toxins (other)},2/17/2023 15:58,"Pyrrolizidine alkaloids in cumin from India, packaged in the United Kingdom, via the Netherlands | pyrrolizidine alkaloids   - {natural toxins (other)}"
2023.1129,SPS,food,unauthorised substance tricyclazole (0.094 mg/kg - ppm) in parboiled rice from India,16-02-2023 15:22:07,Switzerland,information notification for attention,potentially serious,Switzerland,INFOSAN,,"India,Switzerland",India,tricyclazole  unauthorised substance - {pesticide residues},2/16/2023 15:22,unauthorised substance tricyclazole (0.094 mg/kg - ppm) in parboiled rice from India | tricyclazole  unauthorised substance - {pesticide residues}
2023.1124,SPS,food,aflatoxin in Indian groundnuts,16-02-2023 14:46:17,Netherlands,border rejection notification,potentially serious,,,,"India,Netherlands,Switzerland",India,Aflatoxin B1   - {mycotoxins},2/16/2023 14:46,aflatoxin in Indian groundnuts | Aflatoxin B1   - {mycotoxins}
2023.1123,SPS,food,aflatoxin in Indian Rice,16-02-2023 14:43:27,Netherlands,border rejection notification,potentially serious,,,,"Netherlands,United Kingdom",India,Aflatoxin B1   - {mycotoxins},2/16/2023 14:43,aflatoxin in Indian Rice | Aflatoxin B1   - {mycotoxins}
2023.1117,SPS,food,Salmonella in Indian Sesam Seeds,16-02-2023 12:11:51,Netherlands,border rejection notification,serious,,,,"India,Netherlands",India,Salmonella spp.  - {pathogenic micro-organisms},2/16/2023 12:11,Salmonella in Indian Sesam Seeds | Salmonella spp.  - {pathogenic micro-organisms}
2023.1092,SPS,food,"Chlorpyrifos, tricyclazole, carbendazim, thiamethoxam and acetamiprid in cumin seeds from India",15-02-2023 13:25:37,Greece,border rejection notification,serious,,,,"Bulgaria,India",India,"acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",2/15/2023 13:25,"Chlorpyrifos, tricyclazole, carbendazim, thiamethoxam and acetamiprid in cumin seeds from India | acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2023.1014,SPS,food,"Unauthorised substances chlorpyrifos, hexaconazole, tricyclazole, carbendazim and substances thiamethoxam, flonicamid and acetamiprid in cumin ground from India",13-02-2023 08:02:37,Greece,border rejection notification,serious,,,,"Greece,India",India,"acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},flonicamid   - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",2/13/2023 8:02,"Unauthorised substances chlorpyrifos, hexaconazole, tricyclazole, carbendazim and substances thiamethoxam, flonicamid and acetamiprid in cumin ground from India | acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},flonicamid   - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2023.1013,SPS,food,"Unauthorised substances chlorpyrifos, carbendazim and substances buprofezin,ethion and propamocarb in raisins from India",13-02-2023 07:56:07,Greece,border rejection notification,serious,,,,"Greece,India",India,"buprofezin   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},ethion   - {pesticide residues},propamocarb   - {pesticide residues}",2/13/2023 7:56,"Unauthorised substances chlorpyrifos, carbendazim and substances buprofezin,ethion and propamocarb in raisins from India | buprofezin   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},ethion   - {pesticide residues},propamocarb   - {pesticide residues}"
2023.0982,SPS,food,Unauthorised substance chlorfenapyr in red chilli from Vietnam,10/2/2023 10:04,Germany,border rejection notification,not serious,,,,"Czechia,Vietnam",Vietnam,chlorfenapyr  unauthorised substance - {pesticide residues},2/10/2023 10:04,Unauthorised substance chlorfenapyr in red chilli from Vietnam | chlorfenapyr  unauthorised substance - {pesticide residues}
2023.088,Other/Unmatched,food,"Undeclared allergen sulphite in candy mixture from Vietnam, via the Czech Republic",6/2/2023 17:08,Germany,alert notification,serious,Germany,,Czechia,"Czechia,Germany,Vietnam",Vietnam,sulphite  undeclared - {allergens},2/6/2023 17:08,"Undeclared allergen sulphite in candy mixture from Vietnam, via the Czech Republic | sulphite  undeclared - {allergens}"
2023.0824,SPS,food,Unauthorised substance tricyclazole (0.029 mg/kg - ppm) in rice powder from India,3/2/2023 12:45,Switzerland,information notification for attention,serious,Switzerland,INFOSAN,,"India,Switzerland",India,tricyclazole  unauthorised substance - {pesticide residues},2/3/2023 12:45,Unauthorised substance tricyclazole (0.029 mg/kg - ppm) in rice powder from India | tricyclazole  unauthorised substance - {pesticide residues}
2023.0817,TBT,food,Sulphites,3/2/2023 10:58,Portugal,information notification for attention,potential risk,Spain,Spain,,"Ecuador,Spain",Ecuador,sulphite  too high content - {food additives and flavourings},2/3/2023 10:58,Sulphites | sulphite  too high content - {food additives and flavourings}
2023.0816,SPS,food,Chlorpyrifos in roasted rice flour,3/2/2023 10:36,Switzerland,information notification for attention,serious,Switzerland,INFOSAN,,"Switzerland,United Kingdom",India,chlorpyrifos  unauthorised substance - {pesticide residues},2/3/2023 10:36,Chlorpyrifos in roasted rice flour | chlorpyrifos  unauthorised substance - {pesticide residues}
2023.0785,SPS,food,Excessive levels of the pesticide dimethomorph in cardamom from India,2/2/2023 15:44,Germany,border rejection notification,serious,Germany,,,"Germany,India",India,"dimethomorph   - {pesticide residues},metalaxyl   - {pesticide residues},quinalphos   - {pesticide residues},tebuconazole   - {pesticide residues}",2/2/2023 15:44,"Excessive levels of the pesticide dimethomorph in cardamom from India | dimethomorph   - {pesticide residues},metalaxyl   - {pesticide residues},quinalphos   - {pesticide residues},tebuconazole   - {pesticide residues}"
2023.0783,SPS,food,Tricyclazole in red long grain rice from India,2/2/2023 14:29,Switzerland,information notification for attention,potentially serious,Switzerland,INFOSAN,,"India,Switzerland",India,tricyclazole  unauthorised substance - {pesticide residues},2/2/2023 14:29,Tricyclazole in red long grain rice from India | tricyclazole  unauthorised substance - {pesticide residues}
2023.0771,SPS,food,2-chloroethanol (expressed as EO) in coriander seeds from India,2/2/2023 12:19,Sweden,border rejection notification,serious,,,,"India,Sweden",India,ethylene oxide   - {pesticide residues},2/2/2023 12:19,2-chloroethanol (expressed as EO) in coriander seeds from India | ethylene oxide   - {pesticide residues}
2023.077,SPS,food,Cinnamon powder from India,2/2/2023 12:17,Sweden,border rejection notification,serious,,,,"India,Sweden",India,ethylene oxide   - {pesticide residues},2/2/2023 12:17,Cinnamon powder from India | ethylene oxide   - {pesticide residues}
2023.0769,SPS,food,BIRIYANI MASALA/spice mix from India,2/2/2023 12:15,Sweden,border rejection notification,serious,,,,"India,Sweden",India,ethylene oxide   - {pesticide residues},2/2/2023 12:15,BIRIYANI MASALA/spice mix from India | ethylene oxide   - {pesticide residues}
2023.0697,SPS,food,"Residues of Acetamiprid, Chlorpyrifos, Thiamethoxam e Thiophanate-methyl in Fenugreek Leaves from India ",31-01-2023 08:58:09,Italy,border rejection notification,potentially serious,Italy,,,"India,Italy,United Kingdom",India,"acetamiprid   - {pesticide residues},chlorpyrifos-methyl  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},thiophanate-methyl   - {pesticide residues}",1/31/2023 8:58,"Residues of Acetamiprid, Chlorpyrifos, Thiamethoxam e Thiophanate-methyl in Fenugreek Leaves from India  | acetamiprid   - {pesticide residues},chlorpyrifos-methyl  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},thiophanate-methyl   - {pesticide residues}"
2023.0669,SPS,food,sulphite undeclared on frozen raw whiteleg shrimp tails (Penaeus vannamei) from Vietnam,27-01-2023 19:51:37,Germany,alert notification,serious,"Austria,Germany",INFOSAN,Austria,"Germany,Vietnam",Vietnam,sulphur  unauthorised substance - {chemical contamination (other)},1/27/2023 19:51,sulphite undeclared on frozen raw whiteleg shrimp tails (Penaeus vannamei) from Vietnam | sulphur  unauthorised substance - {chemical contamination (other)}
2023.0668,Other/Unmatched,food,"sulphite undeclared on candied fruits from Vietnam, via the Czech Republic",27-01-2023 19:16:43,Germany,alert notification,serious,Germany,INFOSAN,"Czechia,Germany","Czechia,Germany,Vietnam",Vietnam,sulphite  undeclared - {allergens},1/27/2023 19:16,"sulphite undeclared on candied fruits from Vietnam, via the Czech Republic | sulphite  undeclared - {allergens}"
2023.0659,SPS,food,Ethylene oxide in food supplements from India,27-01-2023 15:09:52,France,border rejection notification,serious,,Poland,,"France,India,Ireland,Poland,United Kingdom",India,ethylene oxide   - {pesticide residues},1/27/2023 15:09,Ethylene oxide in food supplements from India | ethylene oxide   - {pesticide residues}
2023.0614,SPS,food,"Chlorpyrifos, thiamethoxam and tricyclazole in cumin seeds from India",26-01-2023 11:42:50,Greece,border rejection notification,potential risk,,,,"Greece,India",India,"chlorpyrifos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",1/26/2023 11:42,"Chlorpyrifos, thiamethoxam and tricyclazole in cumin seeds from India | chlorpyrifos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2023.0581,SPS,food,Unauthorised substance ethylene oxide in chat masala from India,24-01-2023 17:41:47,Germany,border rejection notification,serious,,,,"Germany,India",India,ethylene oxide   - {pesticide residues},1/24/2023 17:41,Unauthorised substance ethylene oxide in chat masala from India | ethylene oxide   - {pesticide residues}
2023.0576,SPS,food,Unauthorised substance ethylene oxide in masala from India,24-01-2023 17:12:42,Germany,border rejection notification,serious,,,,"Germany,India",India,ethylene oxide   - {pesticide residues},1/24/2023 17:12,Unauthorised substance ethylene oxide in masala from India | ethylene oxide   - {pesticide residues}
2023.0572,SPS,food,Unauthorised substance ethylene oxide in masala from India,24-01-2023 16:37:43,Germany,border rejection notification,serious,,,,"Germany,India",India,ethylene oxide   - {pesticide residues},1/24/2023 16:37,Unauthorised substance ethylene oxide in masala from India | ethylene oxide   - {pesticide residues}
2023.0568,TBT,food,Increased aluminum content in glass noodles from Vietnam,24-01-2023 15:25:10,Germany,information notification for follow-up,potentially serious,Germany,,"Czechia,Germany,Netherlands","Czechia,Germany,Netherlands",Vietnam,aluminium  high content - {composition},1/24/2023 15:25,Increased aluminum content in glass noodles from Vietnam | aluminium  high content - {composition}
2023.0547,SPS,food,"Aflatoxins in soy chunks from India, via the Netherlands",23-01-2023 17:16:26,Germany,alert notification,serious,Germany,"INFOSAN,Netherlands","Germany,Netherlands","Germany,Netherlands",India,"Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins}",1/23/2023 17:16,"Aflatoxins in soy chunks from India, via the Netherlands | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins}"
2023.0481,Other/Unmatched,animals,arsenic (5.66 mg/kg - ppm) in complementary feed from India,20-01-2023 09:37:22,Spain,information notification for attention,not serious,Spain,,,"India,Spain",India,arsenic   - {heavy metals},1/20/2023 9:37,arsenic (5.66 mg/kg - ppm) in complementary feed from India | arsenic   - {heavy metals}
2023.0466,Other/Unmatched,food,Cadmium in frozen whole Indo-Pacific squid,19-01-2023 16:49:44,Italy,alert notification,serious,Greece,INFOSAN,Greece,"India,Italy",India,cadmium   - {heavy metals},1/19/2023 16:49,Cadmium in frozen whole Indo-Pacific squid | cadmium   - {heavy metals}
2023.0386,SPS,food,Pesticide residues in fresh chillies from India,17-01-2023 13:02:34,Germany,border rejection notification,serious,,,,"Germany,India",India,"acetamiprid   - {pesticide residues},carbofuran   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},tebuconazole   - {pesticide residues}",1/17/2023 13:02,"Pesticide residues in fresh chillies from India | acetamiprid   - {pesticide residues},carbofuran   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},tebuconazole   - {pesticide residues}"
2023.0385,TBT,food,absence of health certificate(s) for coriander seeds from India,17-01-2023 12:27:27,Slovenia,border rejection notification,no risk,Hungary,INFOSAN,,"Hungary,India",India,,1/17/2023 12:27,absence of health certificate(s) for coriander seeds from India
2023.0381,Other/Unmatched,food,"Metal particles in organic triphala powder from India, via Austria",17-01-2023 11:29:05,Czechia,information notification for follow-up,not serious,"Austria,Bulgaria,Croatia,Czechia,Finland,Hungary,Netherlands,Portugal,Romania,Serbia,Slovenia,Switzerland","Bulgaria,Czechia,INFOSAN","Austria,Bulgaria,Croatia,Finland,Hungary,Netherlands,Portugal,Romania,Slovenia,Switzerland","Austria,Czechia,India,Sweden",India,metal pieces  - {foreign bodies},1/17/2023 11:29,"Metal particles in organic triphala powder from India, via Austria | metal pieces  - {foreign bodies}"
2023.0319,SPS,food,Salmonella Kentucky and Salmonella Senftenberg in sesame seeds from India,13-01-2023 16:40:29,Germany,border rejection notification,serious,,,,"Austria,Germany,India",India,"Salmonella Kentucky  - {pathogenic micro-organisms},Salmonella Senftenberg  - {pathogenic micro-organisms}",1/13/2023 16:40,"Salmonella Kentucky and Salmonella Senftenberg in sesame seeds from India | Salmonella Kentucky  - {pathogenic micro-organisms},Salmonella Senftenberg  - {pathogenic micro-organisms}"
2023.0234,SPS,food,Unauthorised pesticide residues (chlorpyrifos and ethylene oxide) in turmeric powder from India via Türkiye.,11/1/2023 12:01,Finland,border rejection notification,serious,Finland,,,"Finland,Türkiye",India,"chlorpyrifos  unauthorised substance - {pesticide residues},ethylene oxide   - {pesticide residues}",1/11/2023 12:01,"Unauthorised pesticide residues (chlorpyrifos and ethylene oxide) in turmeric powder from India via Türkiye. | chlorpyrifos  unauthorised substance - {pesticide residues},ethylene oxide   - {pesticide residues}"
2023.0185,SPS,food,Ethyleen oxide in Indian SWAD Aloo Mutter,3/3/2023 16:34,Netherlands,border rejection notification,serious,,,,"India,Netherlands",India,pesticide residues   - {pesticide residues},3/3/2023 16:34,Ethyleen oxide in Indian SWAD Aloo Mutter | pesticide residues   - {pesticide residues}
2023.0184,SPS,food,Ethyleen oxide in Indian Cumin seeds,25-01-2023 12:49:14,Netherlands,border rejection notification,serious,,,,"India,Netherlands",India,ethylene oxide   - {pesticide residues},1/25/2023 12:49,Ethyleen oxide in Indian Cumin seeds | ethylene oxide   - {pesticide residues}
2023.0183,SPS,food,ethyleen oxide in Mutter Paneer,25-01-2023 12:30:30,Netherlands,border rejection notification,serious,,,,"India,Netherlands",India,pesticide residues   - {pesticide residues},1/25/2023 12:30,ethyleen oxide in Mutter Paneer | pesticide residues   - {pesticide residues}
2023.0134,Other/Unmatched,feed,Dioxins in soy protein hydrolysate for feed from India,6/1/2023 14:08,Belgium,information notification for attention,not serious,Belgium,,,India,India,dioxins   - {environmental pollutants},1/6/2023 14:08,Dioxins in soy protein hydrolysate for feed from India | dioxins   - {environmental pollutants}
2023.0077,SPS,food,Pesticide residue Tricyclazole in Basmati rice,4/1/2023 15:48,Finland,information notification for follow-up,undecided,"Finland,Germany",Finland,Germany,"Finland,Germany,United Arab Emirates",India,tricyclazole  unauthorised substance - {pesticide residues},1/4/2023 15:48,Pesticide residue Tricyclazole in Basmati rice | tricyclazole  unauthorised substance - {pesticide residues}
2023.0056,TBT,food,High content of E 300-ascorbic acid in Red Tuna fillet  from Vietnam ,3/1/2023 17:22,Estonia,information notification for follow-up,not serious,"Estonia,Latvia,Lithuania","Estonia,Latvia,Lithuania","Estonia,Latvia,Lithuania","Estonia,Latvia,Lithuania,Vietnam",Vietnam,E 300 - ascorbic acid  unauthorised - {food additives and flavourings},1/3/2023 17:22,High content of E 300-ascorbic acid in Red Tuna fillet  from Vietnam  | E 300 - ascorbic acid  unauthorised - {food additives and flavourings}
2022.7652,SPS,feed,Salmonella in farina di bufalo per petfood,30-12-2022 11:12:43,Italy,border rejection notification,not serious,,,,"India,Italy",India,Salmonella spp.  - {pathogenic micro-organisms},12/30/2022 11:12,Salmonella in farina di bufalo per petfood | Salmonella spp.  - {pathogenic micro-organisms}
2022.7513,SPS,food,Unauthorized substance anthraquinone and polycyclic aromatic hydrocarbons (PAHs) in dried star anise from Vietnam,22-12-2022 15:08:42,Germany,alert notification,serious,Germany,INFOSAN,Czechia,"Czechia,Germany",Vietnam,"anthraquinone   - {pesticide residues},benzo(a)pyrene   - {environmental pollutants}",12/22/2022 15:08,"Unauthorized substance anthraquinone and polycyclic aromatic hydrocarbons (PAHs) in dried star anise from Vietnam | anthraquinone   - {pesticide residues},benzo(a)pyrene   - {environmental pollutants}"
2022.7512,Other/Unmatched,food,Sale of non-authorized novel food Betel Nuts,22-12-2022 14:50:07,Belgium,alert notification,serious,"Belgium,France,Germany,Ireland,Netherlands,Spain,Sweden","Belgium,INFOSAN","Belgium,France,Germany,Ireland,Netherlands,Spain,Sweden","Belgium,Germany,Netherlands,United Kingdom",India,,12/22/2022 14:50,Sale of non-authorized novel food Betel Nuts
2022.7473,SPS,food,Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador,21-12-2022 14:30:55,Spain,information notification for attention,not serious,,,,"Ecuador,Spain",Ecuador,Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms},12/21/2022 14:30,Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms}
2022.7463,SPS,food,"chlopyrifos , clothianidin, propiconazole , acetamiprid in cumin seeds from India",21-12-2022 10:33:57,Italy,border rejection notification,undecided,,,,"India,Italy",India,"acetamiprid   - {pesticide residues},chlorpyrifos   - {pesticide residues},clothianidin   - {pesticide residues},propiconazole   - {pesticide residues}",12/21/2022 10:33,"chlopyrifos , clothianidin, propiconazole , acetamiprid in cumin seeds from India | acetamiprid   - {pesticide residues},chlorpyrifos   - {pesticide residues},clothianidin   - {pesticide residues},propiconazole   - {pesticide residues}"
2022.7439,SPS,food,"Clothianidin, Imidacloprid, Thiametoxam  in Cumin Seeds from India",20-12-2022 14:20:11,Italy,border rejection notification,undecided,,,,"India,Italy",India,"clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues}",12/20/2022 14:20,"Clothianidin, Imidacloprid, Thiametoxam  in Cumin Seeds from India | clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues}"
2022.7427,SPS,food,"histamine (up to 3743 mg/kg - ppm) in frozen yellowfin tuna loins (Thunnus albacares) from Vietnam, via the Netherlands",20-12-2022 11:25:07,Latvia,alert notification,serious,"Czechia,Estonia,Latvia,Lithuania,Netherlands","INFOSAN,Netherlands","Czechia,Estonia,Latvia,Lithuania,Netherlands","Latvia,Netherlands,Vietnam",Vietnam,histamine   - {biological contaminants},12/20/2022 11:25,"histamine (up to 3743 mg/kg - ppm) in frozen yellowfin tuna loins (Thunnus albacares) from Vietnam, via the Netherlands | histamine   - {biological contaminants}"
2022.7368,SPS,food,Unauthorised substance ethylene oxide in Capsicum Annuum from India,16-12-2022 14:55:12,Germany,border rejection notification,serious,,,,"Germany,India",India,ethylene oxide   - {pesticide residues},12/16/2022 14:55,Unauthorised substance ethylene oxide in Capsicum Annuum from India | ethylene oxide   - {pesticide residues}
2022.7367,SPS,food,Unauthorised pesticide residue ethylene oxide in organic spice mix from India via Germany,16-12-2022 14:49:21,Finland,alert notification,serious,,,Germany,"Finland,Germany",India,ethylene oxide   - {pesticide residues},12/16/2022 14:49,Unauthorised pesticide residue ethylene oxide in organic spice mix from India via Germany | ethylene oxide   - {pesticide residues}
2022.7347,Other/Unmatched,food,Inappropriate Official sertificate for food supplement containing botanicals from India,16-12-2022 10:10:21,Latvia,border rejection notification,not serious,,,,"India,Latvia",India,,12/16/2022 10:10,Inappropriate Official sertificate for food supplement containing botanicals from India
2022.7346,Other/Unmatched,food,Inappropriate Official sertificate for food supplement containing botanicals from India,16-12-2022 10:08:26,Latvia,border rejection notification,not serious,,,,"India,Latvia",India,,12/16/2022 10:08,Inappropriate Official sertificate for food supplement containing botanicals from India
2022.7288,Other/Unmatched,food,Mercury in  tuna loins from Ecuador,14-12-2022 16:41:15,Portugal,alert notification,serious,"Bosnia and Herzegovina,Croatia,France,Germany,Italy,Netherlands,Portugal,Slovenia,Spain",INFOSAN,"Croatia,France,Germany,Italy,Netherlands,Portugal,Slovenia","Bosnia and Herzegovina,Croatia,Ecuador,Slovenia,Spain",Ecuador,mercury   - {heavy metals},12/14/2022 16:41,Mercury in  tuna loins from Ecuador | mercury   - {heavy metals}
2022.7274,SPS,food,"unauthorised substance tricyclazole in white jasmine rice from Vietnam, via Poland",14-12-2022 11:27:29,Denmark,information notification for follow-up,undecided,"Denmark,Poland",INFOSAN,Poland,"Denmark,Poland,Vietnam",Vietnam,tricyclazole  unauthorised substance - {pesticide residues},12/14/2022 11:27,"unauthorised substance tricyclazole in white jasmine rice from Vietnam, via Poland | tricyclazole  unauthorised substance - {pesticide residues}"
2022.7263,SPS,food,Tricyclazole in white rice from India,13-12-2022 17:12:51,Denmark,information notification for follow-up,undecided,"Denmark,Germany","Germany,INFOSAN","Denmark,Germany","Denmark,Germany,Sri Lanka",India,tricyclazole  unauthorised substance - {pesticide residues},12/13/2022 17:12,Tricyclazole in white rice from India | tricyclazole  unauthorised substance - {pesticide residues}
2022.7257,TBT,food,Unauthorised use of Tartrazine in dried fruits from Vietnam,13-12-2022 15:01:16,Finland,border rejection notification,undecided,Finland,,,"Finland,Vietnam",Vietnam,colour E 102 - tartrazine unauthorised use - {food additives and flavourings},12/13/2022 15:01,Unauthorised use of Tartrazine in dried fruits from Vietnam | colour E 102 - tartrazine unauthorised use - {food additives and flavourings}
2022.7163,Other/Unmatched,food,unauthorized source of iron and novel food in food supplement,8/12/2022 17:24,Estonia,information notification for follow-up,undecided,"Albania,Austria,Bosnia and Herzegovina,Estonia,Latvia,Portugal",,"Austria,Latvia,Portugal","Estonia,India,Latvia,Lithuania,United Kingdom",India,,12/8/2022 17:24,unauthorized source of iron and novel food in food supplement
2022.7092,SPS,food,pesticide residu in Indian Rice,7/12/2022 10:30,Netherlands,border rejection notification,undecided,,,,"India,Netherlands",India,"organophosphate pesticides   - {pesticide residues},pesticide residues   - {pesticide residues}",12/7/2022 10:30,"pesticide residu in Indian Rice | organophosphate pesticides   - {pesticide residues},pesticide residues   - {pesticide residues}"
