Importing Market,Exporting country,Refusal date - formating as MM-YYYY,Barrier Classification,Specific Reason of Rejection,Unique Order ID
United States,India,Jul-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8TH-0030392-3|1
United States,India,Jul-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8TH-0030392-3|2
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0463194-2|1
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0463194-2|1
United States,India,Jul-25,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(i)(2) of the FD&C Act in that it is fabricated from two or more ingredients and the label fails to bear the common or usual name of each such ingredient and/or the article purports to be a beverage containing vegetable or fruit juice, but does not bear a statement with appropriate prominence on the information panel of the total percentage of such fruit or vegetable juice contained in the food.",8KP-0063807-3|1
United States,India,Jul-25,TBT,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to be misbranded in that the label or labeling fails to bear the required nutrition information.,8KP-0063807-3|1
United States,India,Jul-25,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(f) of the FD&C Act in that any word, statement, or other information required by or under the authority of the FD&C Act to appear on the label or labeling is not prominently placed thereon with such conspicuousness (as compared with other words, statements, designs, or devices, in the labeling) and in such terms as to render it likely to be read and understood by the ordinary individual under customary terms of purchase and use (for example, label contains information in two or more   languages but fails to repeat all required information in both languages in accordance with 21 CFR 101.15(c)(2), or label fails  to include all required information in English in accordance with 21 CFR 101.15(c)(1), except in the case of articles distributed solely in the Commonwealth of Puerto Rico or in a  Territory where the predominant language is one other than English)).",8KP-0063807-3|1
United States,India,Jul-25,TBT,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to be misbranded in that the label or labeling bears an unauthorized nutrient content/health claim.,8KP-0063807-3|1
United States,India,Jul-25,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(e)(2) of the FD&C Act in that the food is in package form and the label fails to bear an accurate statement of the quantity of the contents in terms of weight, measure, or numerical count in accordance with Section 403(e)(2) of the FD&C Act.",8KP-0063807-3|1
United States,India,Jul-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0275014-0|1
United States,India,Jul-25,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(g)(2) of the FD&C Act in that the article purports to be or is represented as a food for which a definition and standard of identity have been prescribed by regulations as provided under Section 401 of the FD&C Act and the article is not labeled with the name specified in the definition and standard, or the label does not bear the common names of optional ingredients (other than spices, flavoring and coloring) present in such food, insofar as may be required by such regulation.",KL1-0288862-7|1
United States,India,Jul-25,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to be misbranded within the meaning of section 403(w) in that it appears that the label fails to declare all major food allergens present in the product, as required by section 403(w)(1).",KL1-0288862-7|1
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1629173-8|1
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1629173-8|1
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1629173-8|2
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1629173-8|2
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1629173-8|3
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1629173-8|3
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1629173-8|4
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1629173-8|4
United States,India,Jul-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1629173-8|5
United States,India,Jul-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1629173-8|5
United States,India,Aug-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0398245-2|1
United States,India,Aug-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0243528-8|1
United States,India,Aug-20,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8TH-0002047-7|1
United States,India,Aug-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8TH-0002047-7|1
United States,India,Aug-20,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8TH-0002047-7|2
United States,India,Aug-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8TH-0002047-7|2
United States,India,Aug-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1541662-5|1
United States,India,Aug-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-1541662-5|1
United States,India,Aug-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3536228-8|1
United States,India,Aug-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3536228-8|1
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0421342-8|1
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0421342-8|2
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0422262-7|1
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AQZ-0499647-9|2
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0499647-9|2
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",T77-1575280-6|1
United States,India,Aug-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",T77-1575280-6|1
United States,India,Aug-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0432921-6|1
United States,India,Aug-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a poisonous or deleterious substance, namely chloramphenicol, which may render it injurious to health.",082-0432921-6|1
United States,India,Aug-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",AMQ-0648184-3|1
United States,India,Aug-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1600156-6|1
United States,India,Aug-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",788-1860685-3|1
United States,India,Aug-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0055997-3|1
United States,India,Aug-24,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(e)(1) of the FD&C Act in that the food is in package form and the label fails to bear the name and place of business of the manufacturer, packer, or distributor.
",8P5-0055997-3|1
United States,India,Aug-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0055997-3|2
United States,India,Aug-24,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(e)(1) of the FD&C Act in that the food is in package form and the label fails to bear the name and place of business of the manufacturer, packer, or distributor.
",8P5-0055997-3|2
United States,India,Aug-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0055997-3|3
United States,India,Aug-24,TBT,"The article is subject to refusal of admission pursuant to Section 801(a)(3) of the FD&C Act in that it appears to be misbranded within the meaning of Section 403(e)(1) of the FD&C Act in that the food is in package form and the label fails to bear the name and place of business of the manufacturer, packer, or distributor.
",8P5-0055997-3|3
United States,India,Aug-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8TH-0031487-0|1
United States,India,Aug-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8TH-0031487-0|1
United States,India,Aug-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0462913-6|1
United States,India,Aug-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0462913-6|1
United States,India,Aug-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0462913-6|2
United States,India,Aug-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0462913-6|2
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the food appears to have a substance added to, mixed or packed with it so as to increase its bulk or weight, or reduce its quality or strength, or make it appear better or of greater value than it is.",082-0463440-9|1
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0075016-8|1
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0075016-8|1
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0075016-8|2
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0075016-8|2
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0075016-8|3
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0075016-8|3
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0075016-8|4
United States,India,Aug-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0075016-8|4
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3), in that the article appears to contain Listeria monocytogenes, a poisonous and deleterious substance, which may render it injurious to health.",8P5-1002807-6|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0240950-7|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0240950-7|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0242014-0|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0242014-0|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0629158-0|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0629158-0|1
United States,India,Sep-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0629158-0|1
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0629158-0|2
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0629158-0|2
United States,India,Sep-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0629158-0|2
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0629158-0|3
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0629158-0|3
United States,India,Sep-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0629158-0|3
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0629158-0|4
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0629158-0|4
United States,India,Sep-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0629158-0|4
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0629158-0|5
United States,India,Sep-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0629158-0|5
United States,India,Sep-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0629158-0|5
United States,India,Sep-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1543818-1|1
United States,India,Sep-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-1543818-1|1
United States,India,Sep-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0421850-0|1
United States,India,Sep-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0421850-0|2
United States,India,Sep-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0422487-0|1
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034249-5|1
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034249-5|1
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034249-5|2
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034249-5|2
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034249-5|3
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034249-5|3
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034249-5|4
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034249-5|4
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|1
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|1
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|2
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|2
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|3
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|3
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|4
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|4
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|5
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|5
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|6
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|6
United States,India,Sep-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0037533-9|7
United States,India,Sep-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0037533-9|7
United States,India,Sep-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a food additive, namely chloramphenicol, that is unsafe within the meaning of 21 U.S.C. 348.",594-0382925-8|1
United States,India,Sep-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a poisonous or deleterious substance, namely chloramphenicol, which may render it injurious to health.",594-0382925-8|1
United States,India,Sep-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a food additive, namely chloramphenicol, that is unsafe within the meaning of 21 U.S.C. 348.",594-0382925-8|2
United States,India,Sep-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a poisonous or deleterious substance, namely chloramphenicol, which may render it injurious to health.",594-0382925-8|2
United States,India,Sep-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0463190-0|1
United States,India,Sep-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0465023-1|1
United States,India,Oct-19,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0400847-1|1
United States,India,Oct-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0243187-3|1
United States,India,Oct-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0243187-3|1
United States,India,Oct-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0245402-4|1
United States,India,Oct-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain a poisonous or deleterious substance, namely chloramphenicol, which may render it injurious to health.",082-0410195-3|1
United States,India,Oct-20,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,224-4623177-5|1
United States,India,Oct-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",224-4623177-5|1
United States,India,Oct-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",AMQ-0635185-5|1
United States,India,Oct-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1546200-9|1
United States,India,Oct-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",032-0578866-8|1
United States,India,Oct-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034771-8|1
United States,India,Oct-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034771-8|1
United States,India,Oct-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034771-8|2
United States,India,Oct-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034771-8|2
United States,India,Oct-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0034771-8|3
United States,India,Oct-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0034771-8|3
